Sequence,Lac,Proteins,Orientation,Seed1,Seed2,Energy,nProteins,Tw,Wr,Lk,Angle
105,minicircle,HU+87,MC,383983,15093,329.672,2,9.930,0.070,10.000,0.000
105,minicircle,HU+87,MC,262884,110076,317.502,2,9.891,0.109,10.000,0.000
105,minicircle,HU+87,MC,714803,50060,281.106,2,10.051,-0.051,10.000,0.000
105,minicircle,HU+87,MC,259319,200049,297.934,2,9.999,0.001,10.000,0.000
105,minicircle,HU+87,MC,739004,230182,322.904,2,10.150,-0.150,10.000,0.000
105,minicircle,HU+87,MC,221349,105129,304.917,2,10.021,-0.021,10.000,0.000
105,minicircle,HU+87,MC,305564,160062,290.690,2,9.253,-0.253,10.000,0.000
105,minicircle,HU+87,MC,720782,60050,328.883,2,9.854,0.146,10.000,0.000
105,minicircle,HU+87,MC,962245,75174,299.431,3,9.852,0.148,10.000,0.000
105,minicircle,HU+87,MC,945510,130099,314.767,2,9.992,0.008,10.000,0.000
105,minicircle,HU+87,MC,762458,100151,314.730,2,9.972,0.028,10.000,0.000
105,minicircle,HU+87,MC,206349,185078,330.753,2,10.009,-0.009,10.000,0.000
105,minicircle,HU+87,MC,297899,180082,302.335,2,9.902,0.098,10.000,0.000
105,minicircle,HU+87,MC,840285,65145,305.935,2,9.958,0.042,9.000,0.000
105,minicircle,HU+87,MC,903974,95206,337.230,2,10.222,-0.222,10.000,0.000
105,minicircle,HU+87,MC,418055,45142,309.326,2,10.006,-0.006,10.000,0.000
105,minicircle,HU+87,MC,636084,20247,300.717,2,8.992,0.008,9.000,0.000
105,minicircle,HU+87,MC,942813,175084,331.534,2,9.954,0.046,10.000,0.000
105,minicircle,HU+87,MC,590302,235192,300.834,2,9.968,0.032,10.000,0.000
105,minicircle,HU+87,MC,785591,135169,283.124,2,9.943,0.057,9.000,0.000
105,minicircle,HU+87,MC,741152,170235,317.016,2,9.964,0.036,10.000,0.000
105,minicircle,HU+87,MC,994173,225160,329.519,2,10.026,-0.026,10.000,0.000
105,minicircle,HU+87,MC,220204,85145,318.237,2,9.933,0.067,10.000,0.000
105,minicircle,HU+87,MC,662579,155062,317.236,2,9.964,0.036,9.000,0.000
105,minicircle,HU+87,MC,97278,215209,324.753,2,10.020,-0.020,10.000,0.000
105,minicircle,HU+87,MC,238059,70070,307.268,3,10.056,-0.056,10.000,0.000
105,minicircle,HU+87,MC,958155,195063,337.779,2,9.939,0.061,10.000,0.000
105,minicircle,HU+87,MC,15292,120232,319.123,2,9.942,0.058,9.000,0.000
105,minicircle,HU+87,MC,119450,5067,307.408,2,9.979,0.021,10.000,0.000
105,minicircle,HU+87,MC,467111,145124,344.487,2,9.786,0.214,10.000,0.000
105,minicircle,HU+87,MC,65153,40092,340.076,2,9.977,0.023,10.000,0.000
105,minicircle,HU+87,MC,886440,165116,307.372,2,10.122,-0.122,9.000,0.000
105,minicircle,HU+87,MC,320752,190114,349.360,2,9.802,0.198,10.000,0.000
105,minicircle,HU+87,MC,479093,35007,324.307,2,10.054,-0.054,10.000,0.000
105,minicircle,HU+87,MC,539731,80014,321.091,2,9.935,0.065,10.000,0.000
105,minicircle,HU+87,MC,84060,25024,290.471,4,9.648,0.352,10.000,0.000
105,minicircle,HU+87,MC,833915,125275,305.101,3,9.845,0.155,10.000,0.000
105,minicircle,HU+87,MC,544932,210115,316.121,2,10.032,-0.032,9.000,0.000
105,minicircle,HU+87,MC,591054,55017,315.445,2,9.986,0.014,10.000,0.000
105,minicircle,HU+87,MC,647109,205084,296.649,2,9.965,0.035,10.000,0.000
105,minicircle,HU+87,MC,205250,115030,284.831,2,9.874,0.126,10.000,0.000
105,minicircle,HU+87,MC,532764,193,324.664,2,9.988,0.012,10.000,0.000
105,minicircle,HU+87,MC,458162,10074,310.385,2,9.938,0.062,10.000,0.000
105,minicircle,HU+87,MC,877130,30054,346.882,2,9.952,0.048,10.000,0.000
105,minicircle,HU+87,MC,707122,140274,357.501,3,9.811,0.189,9.000,0.000
105,minicircle,HU+87,MC,395525,220086,325.328,2,10.126,-0.126,10.000,0.000
105,minicircle,HU+87,MC,77426,15093,316.713,2,9.952,0.048,10.000,0.000
105,minicircle,HU+87,MC,716834,150201,298.205,2,10.055,-0.055,10.000,0.000
105,minicircle,HU+87,MC,888818,50060,303.208,2,10.062,-0.062,10.000,0.000
105,minicircle,HU+87,MC,536054,200059,274.121,3,9.879,0.121,10.000,0.000
105,minicircle,HU+87,MC,847010,105129,314.669,2,9.922,0.078,10.000,0.000
105,minicircle,HU+87,MC,535874,160062,312.062,2,10.007,-0.007,9.000,0.000
105,minicircle,HU+87,MC,893926,90158,322.788,2,9.912,0.088,10.000,0.000
105,minicircle,HU+87,MC,648749,60055,297.034,2,9.890,0.110,10.000,0.000
105,minicircle,HU+87,MC,814966,100151,310.317,2,10.057,-0.057,10.000,0.000
105,minicircle,HU+87,MC,114060,130099,327.965,2,9.961,0.039,10.000,0.000
105,minicircle,HU+87,MC,628659,230207,294.796,2,9.877,0.123,10.000,0.000
105,minicircle,HU+87,MC,618083,180082,299.308,2,10.075,-0.075,10.000,0.000
105,minicircle,HU+87,MC,410290,65145,304.284,2,9.912,0.088,9.000,0.000
105,minicircle,HU+87,MC,854110,95206,341.570,2,10.148,-0.148,10.000,0.000
105,minicircle,HU+87,MC,469869,110205,317.557,2,9.992,0.008,10.000,0.000
105,minicircle,HU+87,MC,704974,45142,294.681,2,10.042,-0.042,10.000,0.000
105,minicircle,HU+87,MC,439074,20270,351.017,2,10.009,-0.009,10.000,0.000
105,minicircle,HU+87,MC,200049,185149,340.329,2,10.126,-0.126,9.000,0.000
105,minicircle,HU+87,MC,63435,235192,311.055,2,10.031,-0.031,10.000,0.000
105,minicircle,HU+87,MC,195188,170235,304.583,2,9.934,0.066,10.000,0.000
105,minicircle,HU+87,MC,604343,225160,341.804,2,9.964,0.036,10.000,0.000
105,minicircle,HU+87,MC,150931,85145,306.121,2,9.986,0.014,10.000,0.000
105,minicircle,HU+87,MC,353661,175156,330.720,2,10.005,-0.005,10.000,0.000
105,minicircle,HU+87,MC,547896,135188,293.337,2,9.933,0.067,10.000,0.000
105,minicircle,HU+87,MC,300369,155074,315.589,2,9.940,0.060,9.000,0.000
105,minicircle,HU+87,MC,275725,120232,335.008,2,9.924,0.076,10.000,0.000
105,minicircle,HU+87,MC,639916,195127,326.068,2,9.979,0.021,9.000,0.000
105,minicircle,HU+87,MC,683681,75183,348.493,2,8.982,0.018,9.000,0.000
105,minicircle,HU+87,MC,111484,215328,312.105,2,10.024,-0.024,10.000,0.000
105,minicircle,HU+87,MC,186370,145124,333.055,2,9.787,0.213,9.000,0.000
105,minicircle,HU+87,MC,838107,5086,296.104,2,8.984,0.016,9.000,0.000
105,minicircle,HU+87,MC,140551,165116,295.378,2,10.124,-0.124,10.000,0.000
105,minicircle,HU+87,MC,497536,40117,291.085,2,10.020,-0.020,10.000,0.000
105,minicircle,HU+87,MC,122138,70105,308.722,2,10.135,-0.135,10.000,0.000
105,minicircle,HU+87,MC,102916,190122,339.104,2,10.145,-0.145,10.000,0.000
105,minicircle,HU+87,MC,885459,80086,334.938,2,9.893,0.107,10.000,0.000
105,minicircle,HU+87,MC,518625,35151,318.870,2,10.021,-0.021,10.000,0.000
105,minicircle,HU+87,MC,379699,210115,312.836,2,9.964,0.036,10.000,0.000
105,minicircle,HU+87,MC,984080,55017,276.122,2,9.958,0.042,10.000,0.000
105,minicircle,HU+87,MC,412231,115030,290.618,2,9.855,0.145,10.000,0.000
105,minicircle,HU+87,MC,227976,193,320.437,2,9.978,0.022,10.000,0.000
105,minicircle,HU+87,MC,170475,10074,324.330,2,9.989,0.011,10.000,0.000
105,minicircle,HU+87,MC,815893,30056,323.339,2,10.043,-0.043,10.000,0.000
105,minicircle,HU+87,MC,87655,205213,324.581,2,10.264,0.736,10.000,0.000
105,minicircle,HU+87,MC,98077,15093,307.048,2,10.009,-0.009,10.000,0.000
105,minicircle,HU+87,MC,525963,150201,315.908,2,10.059,-0.059,10.000,0.000
105,minicircle,HU+87,MC,114045,125275,328.190,3,8.994,0.006,10.000,0.000
105,minicircle,HU+87,MC,160919,50060,316.052,2,10.103,-0.103,10.000,0.000
105,minicircle,HU+87,MC,211332,220140,311.915,2,10.033,-0.033,10.000,0.000
105,minicircle,HU+87,MC,496982,105162,309.798,2,9.925,0.075,10.000,0.000
105,minicircle,HU+87,MC,193786,60055,315.810,2,9.866,0.134,10.000,0.000
105,minicircle,HU+87,MC,41614,160085,300.723,2,9.081,-0.081,10.000,0.000
105,minicircle,HU+87,MC,330877,100151,319.683,2,10.092,-0.092,10.000,0.000
105,minicircle,HU+87,MC,682390,90194,305.871,2,9.980,0.020,10.000,0.000
105,minicircle,HU+87,MC,32237,130099,302.537,2,9.977,0.023,10.000,0.000
105,minicircle,HU+87,MC,75697,230207,317.139,2,9.886,0.114,9.000,0.000
105,minicircle,HU+87,MC,63261,180082,320.493,2,9.962,0.038,10.000,0.000
105,minicircle,HU+87,MC,647217,65145,315.241,2,10.024,-0.024,10.000,0.000
105,minicircle,HU+87,MC,732521,95206,326.720,2,10.218,-0.218,8.000,0.000
105,minicircle,HU+87,MC,525494,45142,320.251,2,9.991,0.009,10.000,0.000
105,minicircle,HU+87,MC,705022,20270,340.857,2,10.018,-0.018,9.000,0.000
105,minicircle,HU+87,MC,732442,185149,351.478,2,10.061,-0.061,9.000,0.000
105,minicircle,HU+87,MC,122279,110291,307.801,2,9.944,0.056,10.000,0.000
105,minicircle,HU+87,MC,955694,235192,293.122,2,10.021,-0.021,10.000,0.000
105,minicircle,HU+87,MC,964085,25029,315.325,2,10.134,-0.134,8.000,0.000
105,minicircle,HU+87,MC,128857,225160,322.924,2,10.110,-0.110,10.000,0.000
105,minicircle,HU+87,MC,765610,85145,324.194,2,9.046,-0.046,10.000,0.000
105,minicircle,HU+87,MC,668217,140322,303.295,2,10.050,-0.050,10.000,0.000
105,minicircle,HU+87,MC,957344,170248,319.717,2,10.039,-0.039,10.000,0.000
105,minicircle,HU+87,MC,768208,175156,319.635,2,10.034,-0.034,10.000,0.000
105,minicircle,HU+87,MC,958439,135207,295.396,2,10.113,-0.113,10.000,0.000
105,minicircle,HU+87,MC,746268,120232,345.199,2,9.859,0.141,10.000,0.000
105,minicircle,HU+87,MC,548792,155145,307.578,2,9.906,0.094,10.000,0.000
105,minicircle,HU+87,MC,90475,195140,334.203,2,10.022,-0.022,10.000,0.000
105,minicircle,HU+87,MC,585395,75183,341.728,2,10.011,-0.011,10.000,0.000
105,minicircle,HU+87,MC,727748,200152,308.969,2,10.051,-0.051,10.000,0.000
105,minicircle,HU+87,MC,668369,215328,298.647,2,9.940,0.060,10.000,0.000
105,minicircle,HU+87,MC,811880,145130,295.708,2,9.936,0.064,10.000,0.000
105,minicircle,HU+87,MC,446726,5086,291.962,2,9.982,0.018,10.000,0.000
105,minicircle,HU+87,MC,585911,40117,280.124,2,9.924,0.076,10.000,0.000
105,minicircle,HU+87,MC,19567,70121,336.892,2,9.880,0.120,10.000,0.000
105,minicircle,HU+87,MC,616547,165250,302.393,2,9.954,0.046,10.000,0.000
105,minicircle,HU+87,MC,382788,190122,356.412,2,10.037,-0.037,10.000,0.000
105,minicircle,HU+87,MC,345279,80086,314.585,2,9.779,0.221,10.000,0.000
105,minicircle,HU+87,MC,185997,35237,297.117,3,9.946,0.054,10.000,0.000
105,minicircle,HU+87,MC,287588,210115,308.378,2,9.938,0.062,10.000,0.000
105,minicircle,HU+87,MC,665374,55133,312.734,2,9.961,0.039,10.000,0.000
105,minicircle,HU+87,MC,999243,115030,330.271,2,9.135,-0.135,10.000,0.000
105,minicircle,HU+87,MC,866456,193,331.379,2,9.954,0.046,10.000,0.000
105,minicircle,HU+87,MC,215599,10074,319.391,2,10.049,-0.049,9.000,0.000
105,minicircle,HU+87,MC,934974,30056,339.825,2,9.948,0.052,10.000,0.000
105,minicircle,HU+87,MC,354129,205213,324.095,2,10.053,-0.053,10.000,0.000
105,minicircle,HU+87,MC,400252,150201,314.257,2,9.960,0.040,10.000,0.000
105,minicircle,HU+87,MC,141340,50060,299.838,2,10.198,-0.198,10.000,0.000
105,minicircle,HU+87,MC,328736,15108,294.756,2,10.067,-0.067,10.000,0.000
105,minicircle,HU+87,MC,952541,220140,290.985,2,9.949,0.051,9.000,0.000
105,minicircle,HU+87,MC,659250,60062,314.620,2,10.067,-0.067,10.000,0.000
105,minicircle,HU+87,MC,490935,160085,292.375,2,10.076,-0.076,10.000,0.000
105,minicircle,HU+87,MC,847250,100151,306.467,2,8.938,0.062,9.000,0.000
105,minicircle,HU+87,MC,975807,130099,299.114,2,10.002,-0.002,10.000,0.000
105,minicircle,HU+87,MC,575398,105218,312.349,2,9.112,-0.112,9.000,0.000
105,minicircle,HU+87,MC,131736,90213,324.316,2,10.128,-0.128,9.000,0.000
105,minicircle,HU+87,MC,983546,230207,291.792,2,9.836,0.164,9.000,0.000
105,minicircle,HU+87,MC,962107,180082,303.187,2,10.086,-0.086,10.000,0.000
105,minicircle,HU+87,MC,525963,65153,331.046,2,10.023,-0.023,10.000,0.000
105,minicircle,HU+87,MC,233817,45142,305.117,2,10.155,-0.155,10.000,0.000
105,minicircle,HU+87,MC,856946,20270,350.436,2,9.994,0.006,10.000,0.000
